Citizen_ID,Diet_Type,District_Name,Occupation,Wealth_Index,House_Size_sq_ft,Life_Expectancy,Vehicle_Owned,Work_District,Bio_Hash
CIT_3316,Seafood,Mariana Plaza,Fisher,7209.0,1055.0,46.0,No Vehicle,Coral Slums,6b58bd16
CIT_18307,Seafood,Deep Trench,Warrior,1615.0,114.0,33.0,No Vehicle,Deep Trench,aeebaf0b
CIT_10370,Seafood,Mariana Plaza,Warrior,9135.0,1407.0,46.0,No Vehicle,Coral Slums,e89bbb2e
CIT_15571,Seaweed,Mariana Plaza,Miner,2577.0,480.0,42.0,Sea Scooter,Coral Slums,58e70704
CIT_5378,Seaweed,Deep Trench,Scribe,3080.0,381.0,58.0,Sea Scooter,Mariana Plaza,2a493c6a
CIT_14506,Exotic Imports,Deep Trench,Warrior,16542.0,1712.0,,Sea Scooter,Deep Trench,571b1b65
CIT_16497,Seafood,Mariana Plaza,Fisher,1560.0,207.0,34.0,Fin Bicycle,Deep Trench,06aa4499
CIT_8725,Seafood,Deep Trench,Warrior,16458.0,1691.0,52.0,Submarine,Coral Slums,e263b9c3
CIT_19456,Seaweed,The Golden Reef,Merchant,6043.0,1513.0,69.0,Sea Scooter,The Golden Reef,a4ed95a6
CIT_0609,Exotic Imports,Deep Trench,Fisher,2636.0,268.0,38.0,Sea Scooter,Coral Slums,6b78e0bd
CIT_11303,Exotic Imports,Mariana Plaza,Scribe,14914.0,,47.0,Fin Bicycle,Mariana Plaza,5602fc6a
CIT_18197,Seaweed,The Golden Reef,Miner,14571.0,3354.0,59.0,Submarine,Deep Trench,d281b756
CIT_18047,Seafood,Mariana Plaza,Merchant,4681.0,742.0,56.0,Submarine,The Golden Reef,ad595ad9
CIT_18862,Seaweed,Coral Slums,Warrior,5111.0,322.0,38.0,Fin Bicycle,Coral Slums,4fe14cc3
CIT_0405,Seafood,Mariana Plaza,Scribe,3625.0,572.0,51.0,Fin Bicycle,Mariana Plaza,4c2dd7e1
CIT_16927,Seafood,Coral Slums,Merchant,6016.0,361.0,53.0,Submarine,Coral Slums,686f7e01
CIT_4712,Exotic Imports,Coral Slums,Miner,13325.0,753.0,40.0,Submarine,Coral Slums,8615e9b9
CIT_17560,Seafood,The Golden Reef,Miner,25780.0,,,No Vehicle,The Golden Reef,a8fef073
CIT_8448,Exotic Imports,Deep Trench,Scribe,2195.0,272.0,55.0,Sea Scooter,Mariana Plaza,56681ee9
CIT_7412,Seaweed,The Golden Reef,Merchant,3641.0,730.0,58.0,No Vehicle,Mariana Plaza,9d8636cd
CIT_5396,Exotic Imports,The Golden Reef,Merchant,43245.0,9628.0,103.0,Fin Bicycle,The Golden Reef,4fb31e1a
CIT_8880,Seafood,The Golden Reef,Merchant,15866.0,3612.0,72.0,Submarine,Mariana Plaza,54a63035
CIT_16161,Exotic Imports,The Golden Reef,Merchant,8578.0,1987.0,64.0,Submarine,Deep Trench,83846bd7
CIT_0615,Seafood,Deep Trench,Scribe,19349.0,2024.0,56.0,Submarine,Mariana Plaza,3acc9615
CIT_4634,Seaweed,Coral Slums,Miner,1406.0,100.0,43.0,Sea Scooter,Coral Slums,2d226572
CIT_9693,Seafood,Coral Slums,Miner,3454.0,210.0,55.0,Fin Bicycle,Deep Trench,e09c19f2
CIT_16817,Seafood,The Golden Reef,Scribe,27986.0,6270.0,78.0,Submarine,Mariana Plaza,9efa89a3
CIT_12582,Seafood,Deep Trench,Fisher,1532.0,127.0,40.0,Sea Scooter,Deep Trench,f986c3ef
CIT_16786,Seafood,The Golden Reef,Miner,,4977.0,58.0,Submarine,Coral Slums,4d75d9f6
CIT_17744,Exotic Imports,Mariana Plaza,Scribe,10371.0,,52.0,Sea Scooter,Deep Trench,0e5e5525
CIT_7520,Seaweed,Deep Trench,Fisher,2015.0,188.0,47.0,Sea Scooter,The Golden Reef,5d90dbc3
CIT_0646,Seaweed,The Golden Reef,Miner,42845.0,9619.0,97.0,Fin Bicycle,The Golden Reef,6ec32990
CIT_16056,Exotic Imports,The Golden Reef,Merchant,,2851.0,70.0,Submarine,Mariana Plaza,2dd1424b
CIT_9641,Exotic Imports,Mariana Plaza,Scribe,3875.0,594.0,47.0,Fin Bicycle,Mariana Plaza,84785d46
CIT_13750,Seaweed,Mariana Plaza,Scribe,1480.0,146.0,54.0,Fin Bicycle,Mariana Plaza,d6f01ae6
CIT_5336,Exotic Imports,The Golden Reef,Merchant,38725.0,8823.0,96.0,Sea Scooter,Mariana Plaza,02a12ef9
CIT_9004,Seaweed,Deep Trench,Scribe,5891.0,637.0,67.0,Submarine,Mariana Plaza,863b4088
CIT_0432,Seaweed,Mariana Plaza,Miner,1403.0,150.0,50.0,Sea Scooter,Coral Slums,1794a6f1
CIT_18745,Seaweed,Deep Trench,Fisher,2433.0,253.0,,Sea Scooter,Deep Trench,ef43d014
CIT_18469,Seafood,The Golden Reef,Fisher,1651.0,469.0,41.0,Sea Scooter,Deep Trench,4780adea
CIT_3064,Seafood,The Golden Reef,Merchant,11939.0,2631.0,73.0,Submarine,Mariana Plaza,d17279e4
CIT_1546,Seafood,The Golden Reef,Merchant,56061.0,10000.0,100.0,Submarine,The Golden Reef,a97fe62d
CIT_19522,Exotic Imports,The Golden Reef,Warrior,4841.0,1090.0,40.0,No Vehicle,The Golden Reef,fd0f4c11
CIT_19283,Exotic Imports,Deep Trench,Warrior,,220.0,43.0,Sea Scooter,Coral Slums,937f4432
CIT_9459,Seafood,The Golden Reef,Miner,12745.0,2968.0,60.0,Submarine,Coral Slums,4634b888
CIT_10144,Exotic Imports,Deep Trench,Fisher,,217.0,31.0,Sea Scooter,The Golden Reef,8be64783
CIT_7636,Exotic Imports,Deep Trench,Warrior,,,30.0,No Vehicle,Coral Slums,fd109edd
CIT_11090,Seaweed,The Golden Reef,Merchant,72552.0,10000.0,110.0,No Vehicle,Mariana Plaza,ac14add3
CIT_8749,Exotic Imports,Mariana Plaza,Warrior,20660.0,,44.0,Submarine,Deep Trench,2b30a115
CIT_10500,Exotic Imports,Mariana Plaza,Scribe,24488.0,3675.0,63.0,Submarine,Mariana Plaza,592d57a3
CIT_8859,Seafood,Deep Trench,Miner,17376.0,1775.0,56.0,Sea Scooter,Mariana Plaza,e62dd162
CIT_18278,Exotic Imports,Mariana Plaza,Warrior,3909.0,511.0,36.0,Sea Scooter,Deep Trench,331ccd89
CIT_0247,Seafood,The Golden Reef,Merchant,15507.0,3583.0,75.0,Submarine,Mariana Plaza,ff586cf6
CIT_3761,Seaweed,Mariana Plaza,Miner,1677.0,290.0,49.0,Fin Bicycle,Coral Slums,bf502e08
CIT_16075,Exotic Imports,The Golden Reef,Merchant,30595.0,6849.0,86.0,Submarine,The Golden Reef,b8de8bc6
CIT_13381,Exotic Imports,The Golden Reef,Merchant,8795.0,1992.0,54.0,Fin Bicycle,Mariana Plaza,8cdd25f7
CIT_5507,Seaweed,The Golden Reef,Merchant,5353.0,,63.0,No Vehicle,Coral Slums,42c6c70c
CIT_3720,Exotic Imports,Deep Trench,Merchant,27631.0,2932.0,61.0,No Vehicle,The Golden Reef,686cadf3
CIT_17998,Seaweed,Deep Trench,Warrior,11905.0,1293.0,44.0,Submarine,Deep Trench,33f5248d
CIT_10595,Seafood,Coral Slums,Scribe,10935.0,640.0,68.0,No Vehicle,Mariana Plaza,0047bcf3
CIT_15907,Seafood,The Golden Reef,Merchant,6791.0,1542.0,55.0,Submarine,Coral Slums,3ed22359
CIT_6962,Seaweed,Deep Trench,Fisher,1687.0,210.0,,Sea Scooter,Deep Trench,877a4049
CIT_9365,Seafood,The Golden Reef,Merchant,21883.0,4878.0,83.0,No Vehicle,Mariana Plaza,0f88fd2c
CIT_4605,Seaweed,Deep Trench,Fisher,1016.0,119.0,57.0,Sea Scooter,Deep Trench,e3a49f5b
CIT_17154,Exotic Imports,Deep Trench,Fisher,2493.0,268.0,29.0,Fin Bicycle,Coral Slums,0d3e30f2
CIT_13748,Seaweed,Coral Slums,Warrior,3116.0,162.0,39.0,No Vehicle,Mariana Plaza,5d0f88fa
CIT_4256,Seafood,Deep Trench,Warrior,1391.0,165.0,36.0,Fin Bicycle,Deep Trench,ea9ac90f
CIT_15562,Seafood,The Golden Reef,Fisher,,546.0,43.0,Sea Scooter,Deep Trench,35add6fa
CIT_4740,Seafood,Deep Trench,Miner,3338.0,394.0,45.0,Fin Bicycle,Mariana Plaza,b3b07859
CIT_7910,Exotic Imports,Coral Slums,Miner,4876.0,329.0,,Submarine,Deep Trench,a5996290
CIT_4903,Exotic Imports,Mariana Plaza,Scribe,21044.0,3171.0,73.0,Submarine,Coral Slums,966abb72
CIT_1931,Exotic Imports,Mariana Plaza,Fisher,,241.0,30.0,Sea Scooter,Mariana Plaza,e6a3bbf3
CIT_11867,Seaweed,The Golden Reef,Miner,23490.0,5314.0,72.0,Submarine,Deep Trench,81787b12
CIT_10055,Exotic Imports,Deep Trench,Scribe,19667.0,2040.0,60.0,Fin Bicycle,Mariana Plaza,3005e733
CIT_9472,Exotic Imports,Mariana Plaza,Scribe,15635.0,2365.0,61.0,Submarine,Mariana Plaza,57d0bbef
CIT_0807,Exotic Imports,The Golden Reef,Miner,9631.0,2151.0,49.0,Sea Scooter,The Golden Reef,df0b0d16
CIT_14171,Seafood,The Golden Reef,Scribe,3808.0,717.0,59.0,Sea Scooter,Mariana Plaza,6f0e1a40
CIT_13882,Seaweed,Deep Trench,Miner,2635.0,192.0,49.0,Fin Bicycle,Coral Slums,7c7fb468
CIT_9999,Exotic Imports,Deep Trench,Warrior,3036.0,394.0,32.0,Sea Scooter,Coral Slums,6e8531c2
CIT_14161,Seafood,Mariana Plaza,Scribe,2318.0,407.0,54.0,Sea Scooter,Deep Trench,d2417b34
CIT_6837,Seafood,Coral Slums,Miner,1608.0,109.0,38.0,No Vehicle,Mariana Plaza,4d2ec506
CIT_18492,Seaweed,Deep Trench,Fisher,3040.0,345.0,46.0,No Vehicle,Coral Slums,f639c382
CIT_4009,Seafood,Deep Trench,Warrior,30966.0,3234.0,49.0,No Vehicle,Deep Trench,e1946afc
CIT_0303,Seafood,The Golden Reef,Merchant,18592.0,3982.0,76.0,Sea Scooter,Deep Trench,febca66a
CIT_9815,Seafood,Mariana Plaza,Scribe,11600.0,1651.0,61.0,No Vehicle,Mariana Plaza,2d2c5c47
CIT_2606,Exotic Imports,Mariana Plaza,Merchant,8806.0,1326.0,50.0,Sea Scooter,Deep Trench,1c6b2a62
CIT_15717,Seafood,The Golden Reef,Scribe,5403.0,1234.0,66.0,No Vehicle,Mariana Plaza,9e01a03c
CIT_18546,Seaweed,The Golden Reef,Warrior,155301.0,10000.0,,Royal Submarine,Deep Trench,bd926cd9
CIT_4990,Seafood,Mariana Plaza,Scribe,23171.0,,69.0,Submarine,Mariana Plaza,a598aa4b
CIT_12594,Seafood,Mariana Plaza,Scribe,2832.0,380.0,61.0,Fin Bicycle,Mariana Plaza,de385eb2
CIT_18904,Seafood,Coral Slums,Miner,2233.0,132.0,57.0,No Vehicle,Coral Slums,ddc2b188
CIT_8721,Exotic Imports,Coral Slums,Fisher,3250.0,214.0,33.0,Sea Scooter,Coral Slums,dd17e4fa
CIT_4964,Seaweed,The Golden Reef,Merchant,2277.0,522.0,59.0,No Vehicle,Mariana Plaza,4256232e
CIT_13255,Exotic Imports,The Golden Reef,Merchant,,6603.0,80.0,Submarine,Coral Slums,79171985
CIT_2974,Seafood,Deep Trench,Scribe,,410.0,,Fin Bicycle,Mariana Plaza,94ea5fe1
CIT_15033,Exotic Imports,Mariana Plaza,Merchant,4862.0,793.0,49.0,Sea Scooter,Mariana Plaza,da1e816b
CIT_13196,Seaweed,Mariana Plaza,Warrior,1838.0,294.0,31.0,Fin Bicycle,The Golden Reef,ccd15390
CIT_17401,Seaweed,The Golden Reef,Miner,3126.0,730.0,47.0,Sea Scooter,Mariana Plaza,c92b22d3
CIT_0023,Exotic Imports,Deep Trench,Fisher,9296.0,,41.0,Sea Scooter,Coral Slums,3a500959
CIT_16117,Exotic Imports,Mariana Plaza,Warrior,12715.0,1955.0,,No Vehicle,Deep Trench,c9b1db36
CIT_9301,Exotic Imports,Coral Slums,Merchant,9496.0,570.0,48.0,No Vehicle,Deep Trench,64f15d1d
CIT_19319,Seafood,Deep Trench,Warrior,5447.0,496.0,35.0,No Vehicle,Deep Trench,fae14453
CIT_9317,Seafood,The Golden Reef,Scribe,8243.0,1849.0,61.0,Submarine,Mariana Plaza,3cd595d9
CIT_16476,Exotic Imports,Deep Trench,Fisher,4568.0,493.0,40.0,Sea Scooter,Deep Trench,815258f2
CIT_15280,Seaweed,Coral Slums,Miner,1259.0,100.0,52.0,No Vehicle,The Golden Reef,172bc865
CIT_4214,Exotic Imports,Mariana Plaza,Scribe,1857.0,216.0,47.0,No Vehicle,Mariana Plaza,7c10df3e
CIT_9486,Seaweed,The Golden Reef,Miner,16597.0,3793.0,60.0,Sea Scooter,Deep Trench,55aee668
CIT_17110,Exotic Imports,Deep Trench,Scribe,2372.0,303.0,54.0,Sea Scooter,Mariana Plaza,a627f49f
CIT_18554,Seafood,Coral Slums,Warrior,1154.0,100.0,41.0,Sea Scooter,The Golden Reef,cbd3a79e
CIT_4751,Exotic Imports,The Golden Reef,Merchant,3055.0,643.0,47.0,Fin Bicycle,Mariana Plaza,a7db9726
CIT_5753,Exotic Imports,Mariana Plaza,Merchant,7428.0,1190.0,55.0,No Vehicle,Coral Slums,6c582d4a
CIT_6578,Seaweed,Coral Slums,Scribe,1373.0,100.0,54.0,No Vehicle,Mariana Plaza,be451219
CIT_15893,Exotic Imports,Coral Slums,Miner,,100.0,37.0,Sea Scooter,The Golden Reef,0c446e9b
CIT_4323,Exotic Imports,Mariana Plaza,Warrior,,8242.0,67.0,Submarine,The Golden Reef,042faadb
CIT_7679,Exotic Imports,Deep Trench,Warrior,6149.0,588.0,,Sea Scooter,The Golden Reef,80e3ddf9
CIT_7996,Seafood,Deep Trench,Scribe,3098.0,313.0,51.0,Fin Bicycle,Mariana Plaza,3a1eafd4
CIT_13531,Seafood,The Golden Reef,Scribe,10247.0,2305.0,72.0,Submarine,Mariana Plaza,3b6612fe
CIT_16520,Exotic Imports,The Golden Reef,Scribe,17932.0,4074.0,65.0,Submarine,Mariana Plaza,cd8e6eb0
CIT_11737,Exotic Imports,The Golden Reef,Merchant,18124.0,4107.0,75.0,No Vehicle,The Golden Reef,14ed438d
CIT_8220,Seafood,Deep Trench,Fisher,2202.0,205.0,32.0,Sea Scooter,Deep Trench,4e042c20
CIT_18920,Seafood,Coral Slums,Warrior,,336.0,35.0,Sea Scooter,The Golden Reef,b2c80135
CIT_8519,Seaweed,Deep Trench,Fisher,1865.0,200.0,41.0,Sea Scooter,Mariana Plaza,99044645
CIT_16827,Exotic Imports,The Golden Reef,Merchant,3022.0,673.0,37.0,Fin Bicycle,The Golden Reef,ebdbe582
CIT_7231,Exotic Imports,Deep Trench,Warrior,2048.0,192.0,26.0,Sea Scooter,Deep Trench,40f985f9
CIT_0773,Exotic Imports,Deep Trench,Warrior,3660.0,355.0,35.0,Fin Bicycle,Deep Trench,2eeffdec
CIT_0173,Exotic Imports,Mariana Plaza,Warrior,11350.0,1715.0,36.0,No Vehicle,The Golden Reef,edf81b3d
CIT_5244,Seafood,The Golden Reef,Merchant,21598.0,4846.0,80.0,No Vehicle,The Golden Reef,879f6038
CIT_6663,Seaweed,The Golden Reef,Merchant,34718.0,7842.0,105.0,Sea Scooter,Deep Trench,52554d1f
CIT_3274,Exotic Imports,Deep Trench,Warrior,2158.0,244.0,24.0,Fin Bicycle,Deep Trench,f985119f
CIT_16547,Exotic Imports,The Golden Reef,Merchant,23832.0,5298.0,79.0,No Vehicle,Mariana Plaza,e020abef
CIT_8989,Exotic Imports,Mariana Plaza,Scribe,6500.0,973.0,55.0,Fin Bicycle,Mariana Plaza,3ba88bfb
CIT_18773,Seaweed,Coral Slums,Miner,12566.0,759.0,50.0,Sea Scooter,Coral Slums,9d282fef
CIT_18339,Seafood,Coral Slums,Warrior,1221.0,100.0,38.0,Fin Bicycle,Mariana Plaza,62ed8fea
CIT_11421,Seafood,Coral Slums,Fisher,1680.0,100.0,44.0,Fin Bicycle,The Golden Reef,bb00c81d
CIT_0561,Exotic Imports,The Golden Reef,Merchant,1777.0,357.0,50.0,Sea Scooter,Mariana Plaza,43ed4bb2
CIT_14188,Seaweed,Mariana Plaza,Fisher,1561.0,223.0,44.0,Sea Scooter,Deep Trench,290b3641
CIT_1801,Exotic Imports,Coral Slums,Miner,14506.0,873.0,50.0,Submarine,The Golden Reef,19202ba6
CIT_10461,Seaweed,The Golden Reef,Miner,17373.0,3819.0,70.0,Fin Bicycle,Deep Trench,919c8169
CIT_12809,Seaweed,Mariana Plaza,Merchant,9901.0,1498.0,72.0,No Vehicle,The Golden Reef,e638607a
CIT_6049,Seafood,Coral Slums,Miner,1363.0,100.0,43.0,No Vehicle,Coral Slums,6a13ed15
CIT_6162,Seafood,The Golden Reef,Merchant,,2778.0,72.0,Submarine,The Golden Reef,74d8a103
CIT_13402,Seaweed,Deep Trench,Fisher,3257.0,363.0,46.0,Fin Bicycle,Deep Trench,51f8e55b
CIT_3607,Seafood,The Golden Reef,Scribe,4452.0,,57.0,Sea Scooter,Deep Trench,30aace47
CIT_10740,Exotic Imports,The Golden Reef,Merchant,17352.0,,66.0,Fin Bicycle,Deep Trench,24673dac
CIT_13697,Seaweed,Deep Trench,Warrior,16087.0,1652.0,47.0,No Vehicle,Deep Trench,66a47185
CIT_3704,Seafood,Coral Slums,Miner,1175.0,100.0,45.0,Fin Bicycle,Deep Trench,8874c527
CIT_9658,Seaweed,Coral Slums,Miner,2846.0,156.0,48.0,Fin Bicycle,Coral Slums,969e5c27
CIT_15469,Exotic Imports,Deep Trench,Merchant,6150.0,602.0,54.0,Sea Scooter,The Golden Reef,d681ab54
CIT_7967,Exotic Imports,Coral Slums,Fisher,1355.0,100.0,34.0,No Vehicle,The Golden Reef,0002654e
CIT_1509,Exotic Imports,Coral Slums,Scribe,8321.0,497.0,48.0,No Vehicle,Coral Slums,77e71a97
CIT_8707,Exotic Imports,Deep Trench,Miner,4121.0,396.0,37.0,Sea Scooter,Coral Slums,61ba41c0
CIT_8550,Exotic Imports,Mariana Plaza,Miner,3503.0,565.0,47.0,Fin Bicycle,Deep Trench,7b28d98a
CIT_19455,Seaweed,Deep Trench,Warrior,1365.0,100.0,34.0,No Vehicle,Mariana Plaza,b807383d
CIT_13235,Seafood,The Golden Reef,Miner,10414.0,2412.0,48.0,Fin Bicycle,Coral Slums,feb69add
CIT_16935,Seafood,Mariana Plaza,Scribe,10649.0,1637.0,68.0,Submarine,Coral Slums,d1597bfc
CIT_3531,Seaweed,Deep Trench,Warrior,2296.0,206.0,36.0,Sea Scooter,Deep Trench,0c8b33a0
CIT_12181,Exotic Imports,Deep Trench,Merchant,14014.0,1489.0,55.0,Submarine,The Golden Reef,dc397325
CIT_3644,Seaweed,Mariana Plaza,Scribe,3997.0,593.0,64.0,Fin Bicycle,Deep Trench,10a080cc
CIT_9122,Seaweed,Deep Trench,Warrior,2226.0,198.0,41.0,Submarine,Deep Trench,2ef0450d
CIT_8821,Exotic Imports,Deep Trench,Fisher,1977.0,156.0,40.0,Fin Bicycle,Coral Slums,d56cbc63
CIT_12337,Seaweed,The Golden Reef,Merchant,26426.0,6051.0,99.0,Fin Bicycle,Coral Slums,9d081c09
CIT_11650,Seafood,Coral Slums,Fisher,1559.0,110.0,40.0,Sea Scooter,Deep Trench,9a4a2c6a
CIT_7435,Seaweed,Deep Trench,Fisher,1605.0,191.0,50.0,No Vehicle,Deep Trench,2019dfa4
CIT_4258,Exotic Imports,Mariana Plaza,Miner,1484.0,227.0,37.0,Sea Scooter,The Golden Reef,17c78106
CIT_2579,Exotic Imports,Mariana Plaza,Warrior,4310.0,649.0,36.0,Sea Scooter,Deep Trench,7d8813f1
CIT_7164,Seafood,Coral Slums,Miner,2122.0,152.0,47.0,No Vehicle,Deep Trench,d9346496
CIT_17272,Seaweed,The Golden Reef,Warrior,3401.0,676.0,39.0,Fin Bicycle,Mariana Plaza,569ed15c
CIT_0187,Exotic Imports,The Golden Reef,Merchant,1851.0,357.0,47.0,Sea Scooter,The Golden Reef,b0abfaf2
CIT_6689,Exotic Imports,Mariana Plaza,Scribe,5167.0,743.0,52.0,No Vehicle,Deep Trench,652d972c
CIT_1928,Seaweed,Deep Trench,Fisher,1755.0,253.0,54.0,Sea Scooter,Deep Trench,67fe2558
CIT_9088,Exotic Imports,Coral Slums,Miner,1575.0,129.0,39.0,No Vehicle,Deep Trench,827a67ef
CIT_3462,Seaweed,The Golden Reef,Merchant,3224.0,625.0,66.0,Sea Scooter,Coral Slums,04991be6
CIT_19189,Seafood,The Golden Reef,Merchant,10537.0,2377.0,70.0,Sea Scooter,The Golden Reef,9af3e81e
CIT_7049,Seaweed,Coral Slums,Fisher,1295.0,110.0,43.0,Fin Bicycle,Coral Slums,1c0a63ae
